Data stamp = , 20-04-2022 07:32:54 577

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4541 ,3.29996 ,0.61015 ,5.98678 
2 ,6.7621 ,3.09993 ,0.62042 ,6.08752 
3 ,10.0561 ,2.89989 ,0.62042 ,6.08752 
4 ,13.3669 ,2.69986 ,0.61015 ,5.98678 
5 ,16.6507 ,2.49983 ,0.61357 ,6.02036 
6 ,19.9615 ,2.29982 ,0.61015 ,5.98678 
7 ,23.2703 ,2.09978 ,0.60330 ,5.91962 
8 ,26.5564 ,1.89975 ,0.62042 ,6.08752 
9 ,29.8478 ,1.69971 ,0.60330 ,5.91962 
10 ,33.1365 ,1.49971 ,0.61015 ,5.98678 
11 ,36.4505 ,1.29967 ,1.20561 ,11.82941 
12 ,38.7404 ,1.19966 ,1.58547 ,15.55660 
13 ,40.4400 ,1.14966 ,1.86608 ,18.31002 
14 ,42.1369 ,1.09967 ,2.09537 ,20.55976 
15 ,43.8396 ,1.04964 ,2.22541 ,21.83574 
16 ,45.5333 ,0.99962 ,2.39310 ,23.48108 
17 ,47.2431 ,0.94963 ,2.72847 ,26.77175 
18 ,48.9467 ,0.89960 ,3.08095 ,30.23031 
19 ,50.6460 ,0.84958 ,3.40948 ,33.45383 
20 ,52.3459 ,0.79956 ,3.72432 ,36.54303 
21 ,54.0731 ,0.74953 ,4.13840 ,40.60601 
22 ,55.7898 ,0.69951 ,4.55933 ,44.73614 
23 ,57.4835 ,0.64949 ,5.00763 ,49.13490 
24 ,59.1779 ,0.59946 ,5.47305 ,53.70155 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.5995 ,5.453 ,53.5 
2 ,0.39 ,0.5995 ,5.456 ,53.5 
3 ,0.75 ,0.5995 ,5.439 ,53.4 
4 ,1.10 ,0.5995 ,5.422 ,53.2 
5 ,1.46 ,0.5995 ,5.425 ,53.2 
6 ,1.82 ,0.5995 ,5.432 ,53.3 
7 ,2.18 ,0.5995 ,5.442 ,53.4 
8 ,2.54 ,0.5995 ,5.435 ,53.3 
9 ,2.93 ,0.5995 ,5.405 ,53.0 
10 ,3.27 ,0.5995 ,5.422 ,53.2 
11 ,3.66 ,0.5995 ,5.411 ,53.1 
12 ,4.03 ,0.5995 ,5.405 ,53.0 
13 ,4.39 ,0.5995 ,5.411 ,53.1 
14 ,4.77 ,0.5995 ,5.401 ,53.0 
15 ,5.12 ,0.5995 ,5.408 ,53.1 
16 ,5.48 ,0.5995 ,5.401 ,53.0 
17 ,5.83 ,0.5995 ,5.387 ,52.9 
18 ,6.18 ,0.5995 ,5.408 ,53.1 
19 ,6.52 ,0.5995 ,5.381 ,52.8 
20 ,6.91 ,0.5995 ,5.398 ,53.0 
21 ,7.28 ,0.5995 ,5.398 ,53.0 
22 ,7.65 ,0.5995 ,5.391 ,52.9 
23 ,8.00 ,0.5995 ,5.391 ,52.9 
24 ,8.36 ,0.5995 ,5.384 ,52.8 
25 ,8.72 ,0.5995 ,5.387 ,52.9 
26 ,9.09 ,0.5995 ,5.367 ,52.7 
27 ,9.46 ,0.5995 ,5.398 ,53.0 
28 ,9.84 ,0.5995 ,5.394 ,52.9 
29 ,10.22 ,0.5995 ,5.387 ,52.9 
30 ,10.59 ,0.5995 ,5.377 ,52.8 
31 ,10.95 ,0.5995 ,5.391 ,52.9 
32 ,11.31 ,0.5995 ,5.394 ,52.9 
33 ,11.67 ,0.5995 ,5.381 ,52.8 
34 ,12.04 ,0.5995 ,5.394 ,52.9 
35 ,12.41 ,0.5995 ,5.391 ,52.9 
36 ,12.78 ,0.5995 ,5.387 ,52.9 
37 ,13.14 ,0.5995 ,5.377 ,52.8 
38 ,13.50 ,0.5995 ,5.370 ,52.7 
39 ,13.86 ,0.5995 ,5.381 ,52.8 
40 ,14.21 ,0.5995 ,5.370 ,52.7 
41 ,14.56 ,0.5995 ,5.377 ,52.8 
42 ,14.94 ,0.5995 ,5.360 ,52.6 
43 ,15.30 ,0.5995 ,5.384 ,52.8 
44 ,15.66 ,0.5995 ,5.370 ,52.7 
45 ,16.01 ,0.5995 ,5.381 ,52.8 
46 ,16.41 ,0.5995 ,5.367 ,52.7 
47 ,16.78 ,0.5995 ,5.360 ,52.6 
48 ,17.14 ,0.5995 ,5.367 ,52.7 
49 ,17.51 ,0.5995 ,5.350 ,52.5 
50 ,17.90 ,0.5995 ,5.360 ,52.6 
51 ,18.26 ,0.5995 ,5.384 ,52.8 
52 ,18.64 ,0.5995 ,5.364 ,52.6 
53 ,19.00 ,0.5995 ,5.374 ,52.7 
54 ,19.36 ,0.5995 ,5.353 ,52.5 
55 ,19.76 ,0.5995 ,5.384 ,52.8 
56 ,20.14 ,0.5995 ,5.367 ,52.7 
57 ,20.50 ,0.5995 ,5.367 ,52.7 
58 ,20.86 ,0.5995 ,5.364 ,52.6 
59 ,21.22 ,0.5995 ,5.360 ,52.6 
60 ,21.58 ,0.5995 ,5.346 ,52.5 
61 ,21.98 ,0.5995 ,5.367 ,52.7 
62 ,22.35 ,0.5995 ,5.360 ,52.6 
63 ,22.76 ,0.5995 ,5.374 ,52.7 
64 ,23.13 ,0.5995 ,5.360 ,52.6 
65 ,23.49 ,0.5995 ,5.346 ,52.5 
66 ,23.87 ,0.5995 ,5.360 ,52.6 
67 ,24.25 ,0.5995 ,5.364 ,52.6 
68 ,24.61 ,0.5995 ,5.367 ,52.7 
69 ,24.97 ,0.5995 ,5.336 ,52.4 
70 ,25.34 ,0.5995 ,5.343 ,52.4 
71 ,25.69 ,0.5995 ,5.353 ,52.5 
72 ,26.07 ,0.5995 ,5.350 ,52.5 
73 ,26.44 ,0.5995 ,5.364 ,52.6 
74 ,26.80 ,0.5995 ,5.353 ,52.5 
75 ,27.18 ,0.5995 ,5.360 ,52.6 
76 ,27.55 ,0.5995 ,5.353 ,52.5 
77 ,27.90 ,0.5995 ,5.360 ,52.6 
78 ,28.25 ,0.5995 ,5.333 ,52.3 
79 ,28.59 ,0.5995 ,5.343 ,52.4 
80 ,28.95 ,0.5995 ,5.357 ,52.6 
81 ,29.30 ,0.5995 ,5.346 ,52.5 
82 ,29.66 ,0.5995 ,5.350 ,52.5 
83 ,30.01 ,0.5995 ,5.336 ,52.4 
84 ,30.36 ,0.5995 ,5.346 ,52.5 
85 ,30.72 ,0.5995 ,5.340 ,52.4 
86 ,31.09 ,0.5995 ,5.360 ,52.6 
87 ,31.47 ,0.5995 ,5.353 ,52.5 
88 ,31.85 ,0.5995 ,5.336 ,52.4 
89 ,32.23 ,0.5995 ,5.357 ,52.6 
90 ,32.61 ,0.5995 ,5.357 ,52.6 
91 ,32.98 ,0.5995 ,5.326 ,52.3 
92 ,33.35 ,0.5995 ,5.346 ,52.5 
93 ,33.73 ,0.5995 ,5.353 ,52.5 
94 ,34.09 ,0.5995 ,5.333 ,52.3 
95 ,34.45 ,0.5995 ,5.336 ,52.4 
96 ,34.82 ,0.5995 ,5.340 ,52.4 
97 ,35.18 ,0.5995 ,5.343 ,52.4 
98 ,35.54 ,0.5995 ,5.346 ,52.5 
99 ,35.92 ,0.5995 ,5.364 ,52.6 
100 ,36.27 ,0.5995 ,5.340 ,52.4 
